"Name","Pin","Function","Power, Clock, Debug, System","ICU","CAC","IIC","SCI","GPT","AGT","GPT_POEG","GPT_OPS","CTSU","RTC","ADC","ACMP(0-1)","SPI","KINT","ACMPLP","ANALOG","Symbolic Name","IRQ","Mode","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment","Pull up","Output type",
"P302","22","","","IRQ05","","","TXD2/SDA2","GTIOC7A","","","GTOUUP","TS08-CFC","","","","","","","","","","Disabled","CTSU0: TS08-CFC
GPT_OPS0: GTOUUP
GPT7: GTIOC7A
ICU0: IRQ05
SCI2: SDA2
SCI2: TXD2","","None","","","","",
"P400","1","","","IRQ00","CACREF","SCL0","SCK0/SCK1","GTIOC9A","AGTIO1","","","","","","","","","","","","","Disabled","AGT1: AGTIO1
CAC0: CACREF
GPT9: GTIOC9A
ICU0: IRQ00
IIC0: SCL0
SCI0: SCK0
SCI1: SCK1","","None","","","","",
"P401","2","","","IRQ05","","SDA0","CTS0/TXD1/SDA1","GTIOC9B","","GTETRGA","","","","","","","","","","","","Disabled","GPT_POEG0: GTETRGA
GPT9: GTIOC9B
ICU0: IRQ05
IIC0: SDA0
SCI0: CTS0
SCI1: SDA1
SCI1: TXD1","","None","","","","",
"P407","12","","","","","SDA0","CTS0","","AGTIO0","","","","RTCOUT","ADTRG0","","","","","","","","Disabled","ADC0: ADTRG0
AGT0: AGTIO0
IIC0: SDA0
RTC0: RTCOUT
SCI0: CTS0","","None","","","","",
"P408","11","","","IRQ07","","SCL0","CTS1","","","","GTOWLO","TS04","","","","","","","","","","Disabled","CTSU0: TS04
GPT_OPS0: GTOWLO
ICU0: IRQ07
IIC0: SCL0
SCI1: CTS1","","None","","","","",
"P409","10","","","IRQ06","","","","","","","GTOWUP","TS05","","","","","","","","","","Disabled","CTSU0: TS05
GPT_OPS0: GTOWUP
ICU0: IRQ06","","None","","","","",
"P500","37","","","","","","","GTIOC5A","","","GTIU","","","","","","","","","","","Disabled","GPT_OPS0: GTIU
GPT5: GTIOC5A","","None","","","","",
"P913","15","","","","","","","","AGTIO1","GTETRGA","","","","","","","","","","","","Disabled","AGT1: AGTIO1
GPT_POEG0: GTETRGA","","None","","","","",
"P914","14","","","","","","","","AGTOA1","GTETRGB","","","","","","","","","","","","Disabled","AGT1: AGTOA1
GPT_POEG1: GTETRGB","","None","","","","",
"P915","13","","","","","","","","","","","","","","","","","","","","","Disabled","","","None","","","","",
"RES#","19","SYSTEM0_RES","RES","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
"VCC","9","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
"VCC","30","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
"VCL","3","SYSTEM0_VCL","VCL","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
"VSS","6","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
"VSS","31","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
